Model,Year,Price,Additions,Previous Owners,Offered,Payment Method,Number of Passengers,Car Mileage,Engine Power,Glass,Transmission Type,Car License,Car Origin,Fuel Type,Car Color,Third Party,Comprehensive (Vehicle Body),Total Insurance
دايو ماتيز,2002,22000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,90000,800,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أحمر,467,500,967
مرسيدس 220,1997,30000,"إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد",,للبيع فقط,إمكانية التقسيط,١+٤,,220,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,467,500,967
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولفو FH 12,2001,190000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,,,420,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أحمر,467,1663,2130
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولكسفاجن باسات,2000,36000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
شفروليه اوبترا,2007,28000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,,,1600,الكتروني,اوتوماتيك,فلسطينية,تأجير,بنزين,ذهبي,1340,1000,2340
هونداي كليك,2008,42000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,000000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1035,1000,2035
كيا فورتي,2009,44500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,99,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1000,2340
اوبل أوميغا,1997,33000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانية,للبيع فقط,نقدا فقط,4+1,200000,2500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,ذهبي,845,500,1345
كيا فورتي,2008,59500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,82000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1042,2382
كيا ريو,2007,3800,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",رابعه,للبيع فقط,إمكانية التقسيط,4+1,32123123,1500,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1035,1000,2035
اوبل استرا,1999,28500,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",يد ثانيه,للبيع فقط,إمكانية التقسيط,4+1,120 الف,1400,الكتروني,عادي,فلسطينية,تأجير,بنزين,أخضر,517,500,1017
سكودا اوكتافيا,2009,55000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,إمكانية التقسيط,4+1,000000,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1340,1000,2340
هونداي الانترا,2006,30000,"مُكيّف, مسجل CD, فتحة سقف",,للبيع فقط,إمكانية التقسيط,,,1999,الكتروني,عادي,فلسطينية,عمومي,ديزل,أزرق سماوي,1340,1000,2340
فولكسفاجن باسات,1998,38000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,166000,1800,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق سماوي,670,500,1170
سكودا اوكتافيا,2007,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع أو التبديل,نقدا فقط,4+1,275000,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,فيراني,1340,1000,2340
رينو R5,1988,14500,"إغلاق مركزي, جنطات مغنيسيوم",,للبيع فقط,نقدا فقط,,,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,سكني,517,500,1017
هونداي اكسنت,2013,67000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,4+1,60000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,خمري,1035,1173,2208
اوبل كورسا,2013,54000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع فقط,إمكانية التقسيط,4+1,00000,1400,يدوي,عادي,فلسطينية,خصوصي,بنزين,فيراني,1035,1000,2035
مازدا 6,2015,170000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد أولى,للبيع فقط,نقدا فقط,4+1,50000,2500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,خمري,1690,2976,4665
دايو ليجانزا,1999,23000,,,للبيع فقط,نقدا فقط,4+1,,1800,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,670,500,1170
كيا سبورتاج,2011,89500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,نقدا فقط,,82700,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1567,2907
سكودا اوكتافيا,2008,60000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,4+1,,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,رمادي,1340,1050,2390
فولكسفاجن طوارق,2008,130000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,123000,3600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1690,2275,3965
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,2010,78000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,120000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أسود,1035,1366,2400
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2008,63000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم, وسادة حماية هوائية",4,للبيع فقط,نقدا فقط,4+1,500000,1900,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض,1340,1103,2443
ايسوزو تروبر,1999,59000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",5,للبيع أو التبديل,إمكانية التقسيط,6+1,18000000,3000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,ذهبي,845,516,1361
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي جيتس,2008,41000,"إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",٤,للبيع أو التبديل,نقدا فقط,٤+١,١٥٠,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أحمر,1340,1000,2340
اوبل اسكونا,1984,11000,,4,للبيع فقط,نقدا فقط,4+1,100000,1300,يدوي,عادي,فلسطينية,خصوصي,بنزين,فضي,517,500,1017
سكودا اوكتافيا,2007,60500,"جهاز إنذار, مسجل CD, جنطات مغنيسيوم",,للبيع فقط,إمكانية التقسيط,,,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,سكني,1340,1059,2399
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سانغ يونغ Sym,2013,5000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,,,125,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق,935,1000,1935
فولكسفاجن كادي,2014,105000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",0,للبيع أو التبديل,نقدا فقط,6+1,60000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,فيراني,1340,1838,3178
سيت ابيزا,2014,58000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للتبديل فقط,إمكانية التقسيط,4+1,80000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أسود,1035,1016,2050
فيات دوبلو,2004,33000,"مسجل CD, جنطات مغنيسيوم",يد ثانية,للبيع فقط,نقدا فقط,,,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
دايو لانوس,2002,26999,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,1500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا بيكانتو,2014,52000,"مُكيّف, جهاز إنذار, مسجل CD",صفر,للبيع فقط,نقدا فقط,4+1,20000,1100,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رصاصي,1035,1000,2035
هونداي سانتافيه,2014,135000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,نقدا فقط,4+1,87000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض عاجي,1340,2363,3703
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
مرسيدس C250,2015,175000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,,30000,2500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1690,3063,4753
بيجو 206,2007,28000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",يد رابعة,للبيع فقط,نقدا فقط,,160000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1340,1000,2340
شفروليه اوبترا,2011,39000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",2,للبيع أو التبديل,إمكانية التقسيط,,110000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق سماوي,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فورد كونيكت,2005,45000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,4+1,22000,1850,الكتروني,عادي,فلسطينية,تجاري,ديزل,أبيض عاجي,1340,1000,2340
فولكسفاجن باسات,2007,72500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,,,2000,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,ديزل,بني,1340,1269,2609
هونداي فيرنا,2002,35000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",٢,للبيع أو التبديل,إمكانية التقسيط,4+1,350000,1500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,ذهبي,517,500,1017
سكودا اوكتافيا,2014,120000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,إمكانية التقسيط,4+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أزرق,1340,2100,3440
هونداي اكسنت,2013,58000,مُكيّف,,للبيع فقط,نقدا فقط,,75000,1400,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,1035,1016,2050
اوبل استرا,1997,26000,"مُكيّف, مسجل CD",,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
ايسوزو  4800,2003,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,2+1,700000,4800,الكتروني,عادي,فلسطينية,تجاري,ديزل,أبيض,1690,1050,2740
هونداي توسان,2015,89000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",صفر,للبيع فقط,نقدا فقط,5+1,55,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض عاجي,1340,1558,2898
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2001,37000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثالثه,للبيع أو التبديل,نقدا فقط,١+٤,٤٠٠٠٠٠,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,فضي,670,500,1170
